"study","title","latitude","longitude","methods","habitat","native_species","native_family","native_growth_cycle","invasive_species","invasive_family","invasive_growth_cycle","invasion_phase","MAT","MAP","fraction","source","index","units","depth","M_native","SD_native","N_native","M_invasive","SD_invasive","N_invasive","lnRR","depth_raw"
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"ROC","F3","EOC","g/kg","30-40",5.09289617486338,0.2842,3,5.00546448087431,0.0874,3,-0.015841915,"30-40"
"R8","Changes in Soil Organic Carbon Dymics in a tive C4 Plant-Domited Tidal Marsh Following Sparti alterniflora Invasion","26.0036–26.0342","119.3412–119.4040","field","n/a","C.malaccensis","Cyperaceae","annual","S.alterniflora","Poaceae","perennial","invasive",19.6,1350,"ROC","F3","EOC","g/kg","40-50",4.43715846994535,0.5246,3,4.61202185792349,0.1749,3,0.037573481,"40-50"
"R21","Invasion effects of Chromolaena odorata on soil carbon and nitrogen fractions in a tropical savanna","108.470–108.490","19.050–19.170","field","grassland","Hyptissuavedens,Eragrostiszylindrica,Tridaxprocumbens","Grass","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"ROC","F3","EOC","mg/g","0-10",6.03314917127071,0.7293,NA,5.92265193370165,0.7293,NA,-0.018410562,"0-10"
"R21","Invasion effects of Chromolae odorata on soil carbon and nitrogen fractions in a tropical savan","108.470–108.490","19.050–19.170","field","grassland","Hyptissuavedens,Eragrostiszylindrica,Tridaxprocumbens","Grass","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"ROC","F3","EOC","mg/g","10-20",8.13259668508287,0.8177,NA,5.92265193370165,0.7293,NA,-0.317224475,"10-20"
"R21","Invasion effects of Chromolae odorata on soil carbon and nitrogen fractions in a tropical savan","108.470–108.490","19.050–19.170","field","forest","Crotonlaui,Microcospaniculata,Dimocarpuslongga","Forest","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"ROC","F3","EOC","mg/g","0-10",2.38674033149171,0.221,NA,3.04972375690607,0.3315,NA,0.243848225,"0-10"
"R21","Invasion effects of Chromolae odorata on soil carbon and nitrogen fractions in a tropical savan","108.470–108.490","19.050–19.170","field","forest","Crotonlaui,Microcospaniculata,Dimocarpuslongga","Forest","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"ROC","F3","EOC","mg/g","10-20",3.27071823204419,0.4862,NA,3.04972375690607,0.3315,NA,-0.069648394,"10-20"
"R23","Invasion of Praxelis clematidea increases the chemically non-labile rather than labile soil organic carbon in a tropical savanna","19.05-19.17","108.47 - 108.49","field","n/a","Hyptissuavedens,Eragrostiszylindrica,Tridaxprocumbens,Borreriaarticularis,andFimbristylisfusca,aswellasseveralshrubs,suchasSidaalnifoliaandWaltheriaamerica.","n/a","n/a","Praxelisclematidea","AsteraceaeBercht.&J.Presl","annual","invasive",24.6,1019,"ROC","F2","ROC","g/kg","0-10",2.34883720930232,0.2791,NA,3.76744186046511,0.3256,NA,0.472659673,"0-10"
"R23","Invasion of Praxelis clematidea increases the chemically non-labile rather than labile soil organic carbon in a tropical savan","19.05-19.17","108.47 - 108.49","field","forest","Hyptissuavedens,Eragrostiszylindrica,Tridaxprocumbens,Borreriaarticularis,andFimbristylisfusca,aswellasseveralshrubs,suchasSidaalnifoliaandWaltheriaamerica.","n/a","n/a","Praxelisclematidea","AsteraceaeBercht.&J.Presl","annual","invasive",24.6,1019,"ROC","F2","ROC","g/kg","10-20",1.7906976744186,0.1628,NA,1.46511627906976,0.3488,NA,-0.196953219,"10-20"
"R28","Response of the soil microbial community composition and biomass to a short-term Spartina alterniflora invasion in a coastal wetland of eastern China","32.3651-34.2832","119.5125-121.547","field","n/a","Suaedasalsa","Amaranthaceae","annual","S.alterniflora","Poaceae","perennial","invasive",13.8,1000,"ROC","T2","RC","g/kg","0-30",3.1,0.11,9,6.95,0.72,9,0.807339548,"0-30"
"R28","Response of the soil microbial community composition and biomass to a short-term Spartina alterniflora invasion in a coastal wetland of eastern China","32.3651-34.2832","119.5125-121.547","field","n/a","Phragmitesaustralis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",13.8,1000,"ROC","T2","RC","g/kg","0-30",2.29,0.1,9,6.95,0.72,9,1.15189842,"0-30"
